name,price,socket_type,cooler_length,created_at
다산코퍼레이션 디프렌드 ODIN C400S RGB Mini,14900,"1851,115X,AMD4,2500",128.0,2026-05-21 09:29:27.587474
Segotep S4 AGHP,14900,"115X,AMD4,1800",155.0,2026-05-21 09:29:27.587474
조이쿨 ITX32-115X-CU,14980,"115X,2400",32.0,2026-05-21 09:29:27.587474
조이쿨 RGB-4PIPE90,14990,"115X,AMD4,AM2,2200",80.0,2026-05-21 09:29:27.587474
COOLERTEC CT-AM4-SLIM-CU(PWM),15120,"AMD4,3000",30.0,2026-05-21 09:29:27.587474
COOLERTEC CT-AM4-SLIM-CU(PWM)-2,15120,"AMD4,2800",20.0,2026-05-21 09:29:27.587474
다산코퍼레이션 디프렌드 ODIN C400S Mini,15570,"115X,1851,AMD4,2500",128.0,2026-05-21 09:29:27.587474
잘만 CNPS4X V2,15680,"1851,AMD4,2000",135.0,2026-05-21 09:29:27.587474
타무즈 TC400 RGB,15820,"1851,115X,1366,AMD4,AM2,1500",153.0,2026-05-21 09:29:27.587474
COOLERTEC ALPHA-300 BLUE PLUS,15950,"115X,3200",20.0,2026-05-21 09:29:27.587474
투민시스템 THERMANOVA NOVA6 ARGB,15990,"1851,115X,AMD4,1800",155.0,2026-05-21 09:29:27.587474
ID-COOLING SE-903 XT FRGB 데이븐,16320,"1851,115X,AMD4,2200",123.0,2026-05-21 09:29:27.587474
darkFlash ELLSWORTH S31,16620,"115X,1851,AMD4,1800",153.0,2026-05-21 09:29:27.587474
LEADCOOL AC-1000 RGB,16780,"1366,1851,115X,2400",134.0,2026-05-21 09:29:27.587474
LEADCOOL AC-1100 RGB,16900,"1366,1851,115X,AMD4,2400",134.0,2026-05-21 09:29:27.587474
잘만 CNPS7600 ARGB,17140,"115X,AMD4,AM2,2000",52.0,2026-05-21 09:29:27.587474
JONSBO CR-1300 EVO RGB,17240,"1851,115X,AMD4,2000",128.0,2026-05-21 09:29:27.587474
마이크로닉스 MA-100,17400,"115X,1851,AMD4,2000",127.0,2026-05-21 09:29:27.587474
잘만 CNPS9X OPTIMA II RGB,17580,"2066,115X,1851,2011,AMD4,AM2,1500",155.0,2026-05-21 09:29:27.587474
써멀테이크 UX400 ARGB Sync,17630,"115X,1851,AMD4,AM2,1800",152.0,2026-05-21 09:29:27.587474
3RSYS Socoool RC150 RGB,17720,"AMD4,2000",125.0,2026-05-21 09:29:27.587474
LEADCOOL AC-2100 PRO RGB,17850,"115X,1851,1366,AMD4,1800",154.0,2026-05-21 09:29:27.587474
Antec A30 NEO,17870,"115X,AMD4,AM2,2000",146.0,2026-05-21 09:29:27.587474
앱코 타이폰 ST120X4,17900,"1851,115X,1366,AMD4,1800",149.0,2026-05-21 09:29:27.587474
3RSYS Socoool RC100 RGB,17940,"115X,1366,AM2,AMD4,2000",130.0,2026-05-21 09:29:27.587474
앱코 자이로스 92X4 INTEL ONLY FRGB,18000,"1851,115X,1366,2000",132.0,2026-05-21 09:29:27.587474
COOLLEO B40S LITE 3RSYS,18100,"1851,115X,AMD4,2200",133.0,2026-05-21 09:29:27.587474
야인컴퓨터 YAIN ZERO YC1900,18290,"2011,115X,1366,AMD4,AM2,1600",156.0,2026-05-21 09:29:27.587474
darkFlash ELLSWORTH S31 PRO ARGB,18290,"1851,115X,AMD4,1800",153.0,2026-05-21 09:29:27.587474
잘만 CNPS9X OPTIMA II ARGB,18340,"115X,1851,AMD4,1500",155.0,2026-05-21 09:29:27.587474
3RSYS Socoool RC450N PWM,18440,"1851,115X,AMD4,2500",45.0,2026-05-21 09:29:27.587474
JONSBO CR-1400 EVO AUTO RGB,18520,"115X,1851,AMD4,2200",130.0,2026-05-21 09:29:27.587474
LEADCOOL AC-3100 PRO ARGB,18520,"115X,1366,1851,AMD4,1800",154.0,2026-05-21 09:29:27.587474
JONSBO CR-1000 EVO STANDARD,18680,"115X,1851,AMD4,1500",154.0,2026-05-21 09:29:27.587474
마이크로닉스 ICEROCK MA-92 RGB,18890,"1851,1366,115X",137.0,2026-05-21 09:29:27.587474
JIUSHARK JF120R Emerald,18900,"115X,1851,AMD4,1800",157.0,2026-05-21 09:29:27.587474
BRAVOTEC M4 마블 아이언맨,18960,"115X,1366,AMD4,1500",157.0,2026-05-21 09:29:27.587474
BRAVOTEC M4 마블 스파이더맨,18960,"115X,1366,AMD4,1500",157.0,2026-05-21 09:29:27.587474
BRAVOTEC M4 마블 타노스,18960,"115X,1366,AMD4,1500",157.0,2026-05-21 09:29:27.587474
