name,price,socket_type,memory_type,created_at,bench_score
인텔 제온 스케일러블 골드 6148 (스카이레이크),5199980,3647,DDR4,2026-05-21 09:09:51.582418,29037.0
인텔 제온 스케일러블 골드 6338N (아이스레이크),5255280,4189,DDR4,2026-05-21 09:09:51.582418,42086.0
인텔 제온 스케일러블 골드 6338N,5255280,,,2026-05-21 09:09:51.582418,42086.0
인텔 제온 스케일러블 골드 6314U (아이스레이크),5331880,4189,DDR4,2026-05-21 09:09:51.582418,48916.0
인텔 제온 스케일러블 골드 6342 (아이스레이크),5393570,4189,DDR4,2026-05-21 09:09:51.582418,47076.0
인텔 제온 스케일러블 골드 6238 (캐스케이드레이크),5499600,3647,DDR4,2026-05-21 09:09:51.582418,29057.0
인텔 제온 스케일러블 골드 6128 (스카이레이크),5529000,3647,DDR4,2026-05-21 09:09:51.582418,12838.0
인텔 제온 스케일러블 골드 6248 (캐스케이드레이크),5576400,3647,DDR4,2026-05-21 09:09:51.582418,29530.0
인텔 제온 스케일러블 골드 6138 (스카이레이크),5879900,3647,DDR4,2026-05-21 09:09:51.582418,23664.0
AMD 라이젠 스레드리퍼 PRO 7975WX (스톰 픽),6115670,,DDR5,2026-05-21 09:09:51.582418,95489.0
인텔 제온 스케일러블 골드 6338 (아이스레이크),6330000,4189,DDR4,2026-05-21 09:09:51.582418,40225.0
인텔 제온 스케일러블 플래티넘 8354H (쿠퍼레이크),6365610,4189,DDR4,2026-05-21 09:09:51.582418,3626.0
인텔 제온 스케일러블 골드 6130 (스카이레이크),6373000,3647,DDR4,2026-05-21 09:09:51.582418,21253.0
AMD 라이젠 스레드리퍼 PRO 9975WX (시마다 픽),6496210,,DDR5,2026-05-21 09:09:51.582418,104915.0
인텔 제온 스케일러블 골드 6338T (아이스레이크),6614000,4189,DDR4,2026-05-21 09:09:51.582418,35801.0
인텔 제온 스케일러블 플래티넘 8351N (아이스레이크),6637650,4189,DDR4,2026-05-21 09:09:51.582418,48267.0
