name,price,memory_type,memory_clock,created_at,bench_score
삼성전자 DDR5-5600 중고,303480,DDR5,5600,2026-05-22 11:57:25.202677,20.5
GeIL DDR5-5600 CL46 PRISTINE V,303990,DDR5,5600,2026-05-22 11:57:25.202677,20.5
타무즈 DDR5-5600 CL46 S5,304490,DDR5,5600,2026-05-22 11:57:25.202677,20.5
SK하이닉스 노트북 DDR5-5600 중고,306090,DDR5,5600,2026-05-22 11:57:25.202677,20.5
FRIO DDR5-5600 CL46,312400,DDR5,5600,2026-05-22 11:57:25.202677,20.5
이메이션 DDR4-3200 CL22,312960,DDR4,3200,2026-05-22 11:57:25.202677,15.3
ADATA DDR5-5600 CL46 ARMAX 파인인포,313140,DDR5,5600,2026-05-22 11:57:25.202677,20.5
삼성전자 노트북 DDR4-2666 중고,314000,DDR4,2666,2026-05-22 11:57:25.202677,15.7
ADATA DDR5-5600 CL46 LANCER BLADE 화이트 서린,316890,DDR5,5600,2026-05-22 11:57:25.202677,20.5
삼성전자 노트북 DDR4-3200,319250,DDR4,3200,2026-05-22 11:57:25.202677,18.9
마이크론 Crucial DDR5-4800 CL40 패키지,320000,DDR5,4800,2026-05-22 11:57:25.202677,13.4
ADATA DDR5-5600 CL46 LANCER BLADE 블랙 서린,323100,DDR5,5600,2026-05-22 11:57:25.202677,20.5
ADATA DDR5-5600 CL46 ARMAX 서린,323160,DDR5,5600,2026-05-22 11:57:25.202677,20.5
GeIL DDR5-4800 CL40 PRISTINE V,324900,DDR5,4800,2026-05-22 11:57:25.202677,13.4
Apacer 노트북 DDR5-5600 CL46,325430,DDR5,5600,2026-05-22 11:57:25.202677,20.5
ADATA DDR5-5600 CL46 코잇,326410,DDR5,5600,2026-05-22 11:57:25.202677,20.5
ESSENCORE KLEVV DDR5-5600 CL30 FIT V 서린,328190,DDR5,5600,2026-05-22 11:57:25.202677,20.5
이메이션 DDR4-3200 CL22-22-22-52,332940,DDR4,3200,2026-05-22 11:57:25.202677,15.3
AGI 노트북 DDR5-5600 CL46 SD238 서린,333190,DDR5,5600,2026-05-22 11:57:25.202677,20.5
GeIL DDR5-5200 CL42 PRISTINE V,333740,DDR5,5200,2026-05-22 11:57:25.202677,19.0
GeIL 노트북 DDR5-5600 CL46,335200,DDR5,5600,2026-05-22 11:57:25.202677,20.5
ESSENCORE KLEVV DDR5-5600 CL30 FIT V WHITE 서린,337850,DDR5,5600,2026-05-22 11:57:25.202677,20.5
PATRIOT DDR5-6000 CL30 VIPER Elite 5,338430,DDR5,6000,2026-05-22 11:57:25.202677,21.1
PATRIOT DDR4-3200 CL22 SIGNATURE,338700,DDR4,3200,2026-05-22 11:57:25.202677,15.3
PATRIOT DDR5-6000 CL30 VIPER Elite 5 RGB,339740,DDR5,6000,2026-05-22 11:57:25.202677,21.1
CORSAIR DDR5-6000 CL36 VENGEANCE RGB,340000,DDR5,6000,2026-05-22 11:57:25.202677,20.1
PNY DDR5-5600 CL40 Performance,349000,DDR5,5600,2026-05-22 11:57:25.202677,19.0
ESSENCORE KLEVV DDR5-6400 CL52 CUDIMM 파인인포,352600,DDR5,6400,2026-05-22 11:57:25.202677,20.4
CORSAIR DDR4-3200 CL16 VENGEANCE RGB PRO SL BLACK 패키지,354750,DDR4,3200,2026-05-22 11:57:25.202677,19.0
삼성전자 DDR4-3200,357930,DDR4,3200,2026-05-22 11:57:25.202677,18.9
