name,price,created_at,bench_score
엠씨케이글로벌 OUTTON MK-500 LITE mSATA 벌크,155000,2026-06-09 00:09:49.019815,3208.0
키오시아 CL4-8D M.2 NVMe 벌크,155770,2026-06-09 00:09:49.019815,17402.0
Western Digital WD Green SN350 M.2 NVMe 해외구매,156000,2026-06-09 00:09:49.019815,16954.0
TeamGroup MS30 M.2 SATA,156000,2026-06-09 00:09:49.019815,1514.0
PNY CS2241 M.2 NVMe 제이씨현,156990,2026-06-09 00:09:49.019815,26845.0
타무즈 GKX370 mSATA,157200,2026-06-09 00:09:49.019815,3136.0
SK하이닉스 BC901 M.2 NVMe 벌크,157990,2026-06-09 00:09:49.019815,19571.0
Western Digital WD SN740 M.2 NVMe 벌크,159000,2026-06-09 00:09:49.019815,32677.0
TeamGroup GX2 해외구매,161550,2026-06-09 00:09:49.019815,19358.0
컴이지 KINGDOM PM M40 M.2 NVMe 벌크,161760,2026-06-09 00:09:49.019815,11249.0
KingBank KP200 Plus M.2 NVMe 해외구매,162890,2026-06-09 00:09:49.019815,33569.0
PATRIOT P410 M.2 NVMe,165380,2026-06-09 00:09:49.019815,29193.0
MSI SPATIUM M450 M.2 NVMe,169000,2026-06-09 00:09:49.019815,22688.0
Western Digital WD SN740 M.2 2242 NVMe 벌크,169000,2026-06-09 00:09:49.019815,32677.0
ADATA XPG SX8200 Pro M.2 NVMe 파인인포,169670,2026-06-09 00:09:49.019815,18410.0
한창코퍼레이션 Cloud M.2 SATA 중고,169800,2026-06-09 00:09:49.019815,
SK하이닉스 PVC10 M.2 2242 NVMe 벌크,170000,2026-06-09 00:09:49.019815,32423.0
삼성전자 PM981a M.2 NVMe 벌크,171900,2026-06-09 00:09:49.019815,16993.0
Sabrent Rocket Q M.2 NVMe 해외구매,176560,2026-06-09 00:09:49.019815,
Lexar NM620 M.2 NVMe,177680,2026-06-09 00:09:49.019815,19144.0
디오테라 ROIPLE QRAY M.2 NVMe,177990,2026-06-09 00:09:49.019815,
마이크론 3500 M.2 NVMe 벌크,179010,2026-06-09 00:09:49.019815,40797.0
삼성전자 PM9B1 M.2 2242 NVMe 벌크,180000,2026-06-09 00:09:49.019815,19839.0
한창코퍼레이션 WIN SSD,180000,2026-06-09 00:09:49.019815,
Seagate 바라쿠다 Q1 SSD,182700,2026-06-09 00:09:49.019815,3433.0
삼성전자 PM9C1a M.2 NVMe 벌크,188000,2026-06-09 00:09:49.019815,21817.0
킹스톤 KC3000 M.2 NVMe 해외구매,189820,2026-06-09 00:09:49.019815,43809.0
삼성전자 PM981 M.2 NVMe 중고,189890,2026-06-09 00:09:49.019815,19539.0
삼성전자 PM981 M.2 NVMe 벌크,195910,2026-06-09 00:09:49.019815,19539.0
SK하이닉스 BC711 M.2 NVMe 중고,199000,2026-06-09 00:09:49.019815,10318.0
한창코퍼레이션 Cloud SSD,199730,2026-06-09 00:09:49.019815,
트랜센드 MTS820S M.2 SATA,207100,2026-06-09 00:09:49.019815,28335.0
삼성전자 PM9B1 M.2 2242 NVMe 병행수입,207610,2026-06-09 00:09:49.019815,19839.0
디오테라 VIVA 300S LITE M.2 SATA,208060,2026-06-09 00:09:49.019815,12601.0
비트엠 Newsync BITS,209000,2026-06-09 00:09:49.019815,
ICY DOCK ExpressSlot Core MB312M4P-B,209000,2026-06-09 00:09:49.019815,19692.0
한창코퍼레이션 Cloud M.2 SATA,210000,2026-06-09 00:09:49.019815,
GIGABYTE SSD 제이씨현,211000,2026-06-09 00:09:49.019815,
HIKSEMI E100,213890,2026-06-09 00:09:49.019815,2863.0
트랜센드 MTS420S M.2 2242 SATA,215000,2026-06-09 00:09:49.019815,3083.0
Fanxiang S101,218000,2026-06-09 00:09:49.019815,3290.0
PNY CS900 제이씨현,218370,2026-06-09 00:09:49.019815,2897.0
Seagate 바라쿠다 SATA SSD,219000,2026-06-09 00:09:49.019815,
디오테라 ROIPLE DOVE SSD,220990,2026-06-09 00:09:49.019815,
타무즈 MX400 mSATA 벌크,224470,2026-06-09 00:09:49.019815,20358.0
AGI AI238,225000,2026-06-09 00:09:49.019815,4481.0
Apacer AS350X,225000,2026-06-09 00:09:49.019815,4052.0
비즈텍 TREAVE VS200,228460,2026-06-09 00:09:49.019815,39730.0
