name,price,socket_type,memory_type,pcie_type,size,memory_clock,created_at
GIGABYTE H610M S2H V2 D4 듀러블에디션 제이씨현,112400,1700,DDR4,PCIE4.0X16,MATX,3200.0,2026-04-20 15:30:38.871935
GIGABYTE H810M H 제이씨현,112810,1851,DDR5,PCIE4.0X16,MATX,6400.0,2026-04-20 15:30:38.871935
ASRock H810M-P Gen5 디앤디컴,113230,1851,DDR5,PCIE5.0X16,MATX,6400.0,2026-04-20 15:30:38.871935
ASUS PRIME H810M-E 코잇,114000,1851,DDR5,PCIE4.0X16,MATX,6400.0,2026-04-20 15:30:38.871935
GIGABYTE H810M H GEN5 피씨디렉트,114590,1851,DDR5,PCIE5.0X16,MATX,6400.0,2026-04-20 15:30:38.871935
GIGABYTE B650M K 피씨디렉트,114700,AM5,DDR5,PCIE4.0X16,MATX,8000.0,2026-04-20 15:30:38.871935
MSI PRO H610M-C EX,114910,1700,DDR5,PCIE4.0X16,MATX,5600.0,2026-04-20 15:30:38.871935
ASUS PRIME B550M-K ARGB 대원씨티에스,115000,AM4,DDR4,PCIE4.0X16,MATX,5100.0,2026-04-20 15:30:38.871935
GIGABYTE B650M K 제이씨현,115520,AM5,DDR5,PCIE4.0X16,MATX,8000.0,2026-04-20 15:30:38.871935
MSI PRO B650M-B,115710,AM5,DDR5,PCIE4.0X16,MATX,6800.0,2026-04-20 15:30:38.871935
ASRock B650M PG Lightning 대원씨티에스,115850,AM5,DDR5,PCIE4.0X16,MATX,7200.0,2026-04-20 15:30:38.871935
ASUS TUF Gaming A620M-PLUS 대원씨티에스,115900,AM5,DDR5,PCIE4.0X16,MATX,6400.0,2026-04-20 15:30:38.871935
COLORFUL BATTLE-AX B650M-E PRO V14 도우정보,115980,AM5,DDR5,PCIE4.0X16,MATX,7600.0,2026-04-20 15:30:38.871935
ASUS EX A320M-GAMING 대원씨티에스,116000,AM4,DDR4,PCIE3.0X16,MATX,2666.0,2026-04-20 15:30:38.871935
ASRock H810M-P Gen5 디앤디컴 (벌크),116100,1851,DDR5,PCIE5.0X16,MATX,6400.0,2026-04-20 15:30:38.871935
GIGABYTE H810M H 피씨디렉트,116200,1851,DDR5,PCIE4.0X16,MATX,6400.0,2026-04-20 15:30:38.871935
ASRock H610M-X D5 Gen5 디앤디컴,116620,1700,DDR5,PCIE5.0X16,MATX,5600.0,2026-04-20 15:30:38.871935
MAXSUN 터미네이터 B550M 디앤디컴,117000,AM4,DDR4,,MATX,3600.0,2026-04-20 15:30:38.871935
BIOSTAR B650MT-E PRO 제이씨현,117140,AM5,DDR5,PCIE4.0X16,MATX,6000.0,2026-04-20 15:30:38.871935
ASUS PRIME H510M-K R2.0 STCOM,117450,1200,DDR4,PCIE4.0X16,MATX,3200.0,2026-04-20 15:30:38.871935
ASRock B650M PG Lightning 디앤디컴,117480,AM5,DDR5,PCIE4.0X16,MATX,7200.0,2026-04-20 15:30:38.871935
ASRock B550M Phantom Gaming 4 디앤디컴,118360,AM4,DDR4,PCIE4.0X16,MATX,4733.0,2026-04-20 15:30:38.871935
