Bench_Name,Score
AMD Athlon II X4 6400e,1795
AMD Athlon II X4 641 Quad-Core,2313
AMD Athlon II X4 645,2378
AMD Athlon II X4 650,2507
AMD Athlon II X4 651 Quad-Core,2433
AMD Athlon II X4 655,2487
AMD Athlon L110,211
AMD Athlon LE-1600,412
AMD Athlon LE-1620,421
AMD Athlon LE-1640,430
AMD Athlon LE-1660,416
AMD Athlon MP,150
AMD Athlon MP 1700+,220
AMD Athlon MP 2400+,284
AMD Athlon MP 2800+,324
AMD Athlon Neo MV-40,281
AMD Athlon Neo X2 Dual Core 6850e,482
AMD Athlon Neo X2 Dual Core L325,556
AMD Athlon Neo X2 Dual Core L335,529
AMD Athlon PRO 200GE,3897
AMD Athlon PRO 300GE,4269
AMD Athlon PRO 300U,4080
AMD Athlon PRO 3045B,2770
AMD Athlon QI-46,274
AMD Athlon Silver 10,3543
AMD Athlon Silver 3050C,2879
AMD Athlon Silver 3050e,2991
AMD Athlon Silver 3050GE,4545
AMD Athlon Silver 3050U,2947
AMD Athlon Silver 7120e,3837
AMD Athlon Silver 7120U,3027
AMD Athlon Silver PRO 3125GE,4633
AMD Athlon TF-20,265
AMD Athlon TF-36,338
AMD Athlon X2 215,996
AMD Athlon X2 235e,1097
AMD Athlon X2 240,921
AMD Athlon X2 240e,1015
AMD Athlon X2 250,855
AMD Athlon X2 255,938
AMD Athlon X2 280,1327
AMD Athlon X2 340 Dual Core,1334
AMD Athlon X2 370K Dual Core,1439
AMD Athlon X2 440,866
AMD Athlon X2 450,1295
AMD Athlon X2 Dual Core 3250e,348
AMD Athlon X2 Dual Core 6850e,564
AMD Athlon X2 Dual Core BE-2300,570
AMD Athlon X2 Dual Core BE-2350,591
AMD Athlon X2 Dual Core BE-2400,674
AMD Athlon X2 Dual Core BE-2450,708
AMD Athlon X2 Dual Core L310,349
AMD Athlon X2 Dual Core LS-5800,570
AMD Athlon X3 425,1516
AMD Athlon X3 435,1781
AMD Athlon X3 440,1438
AMD Athlon X3 445,1584
AMD Athlon X3 455,1783
AMD Athlon X4 530,1786
AMD Athlon X4 605e,1733
AMD Athlon X4 620,1810
AMD Athlon X4 635,2001
AMD Athlon X4 640,2115
AMD Athlon X4 730,2278
AMD Athlon X4 740 Quad Core,2646
AMD Athlon X4 750 Quad Core,2751
AMD Athlon X4 750K Quad Core,2907
AMD Athlon X4 760K Quad Core,2977
AMD Athlon X4 830,3018
AMD Athlon X4 840,3335
AMD Athlon X4 845,3758
AMD Athlon X4 850,2756
AMD Athlon X4 860K,3412
AMD Athlon X4 870K,3452
AMD Athlon X4 880K,3632
AMD Athlon X4 950,3581
AMD Athlon X4 970,3677
AMD Athlon XP 1500,183
AMD Athlon XP 1500+,167
AMD Athlon XP 1600+,174
AMD Athlon XP 1700,224
AMD Athlon XP 1700+,176
AMD Athlon XP 1800+,195
AMD Athlon XP 1900+,203
AMD Athlon XP 2000+,195
AMD Athlon XP 2100+,210
AMD Athlon XP 2200+,214
AMD Athlon XP 2300+,302
AMD Athlon XP 2400+,234
AMD Athlon XP 2500+,231
AMD Athlon XP 2600+,242
AMD Athlon XP 2700+,256
AMD Athlon XP 2800+,260
AMD Athlon XP 2900+,276
AMD Athlon XP 3000+,262
AMD Athlon XP 3100+,282
AMD Athlon XP 3200+,281
AMD Athlon XP 3400+,371
AMD Athlon XP Pro3+,239
AMD Athlon XP-M,352
AMD Athlon XP1600+,183
AMD Athlon XP1900+,230
AMD Athlon XP2100+,187
AMD Athlon XP2200+,261
AMD Athlon XP2400+,243
AMD Athlon64 X2 Dual Core 4600+,803
AMD BC-250,13850
AMD C-30,178
AMD C-50,262
AMD C-60,290
AMD C-60 APU,316
AMD C-70 APU,315
AMD Custom APU 0932,9421
AMD E-240,195
AMD E-300 APU,338
AMD E-350,430
AMD E-350 APU,423
AMD E-350D APU,486
AMD E-450 APU,439
AMD E1 Micro-6200T APU,600
AMD E1-1200 APU,380
AMD E1-1500 APU,385
AMD E1-2100 APU,406
AMD E1-2200 APU,474
AMD E1-2500 APU,593
AMD E1-6010 APU,541
AMD E1-6015 APU,592
AMD E1-6050J APU,1385
AMD E1-7010 APU,613
AMD E2-1800 APU,453
AMD E2-2000 APU,496
AMD E2-3000 APU,743
AMD E2-3000M APU,668
AMD E2-3200 APU,971
AMD E2-3800 APU,1136
AMD E2-6110 APU,1231
AMD E2-7015,611
AMD E2-7015 APU,654
AMD E2-7110 APU,1494
AMD E2-9000,971
AMD E2-9000e,883
AMD E2-9010,1090
AMD E2-9030,983
AMD Embedded G-Series GX-215JJ Radeon R2E,1094
AMD Embedded G-Series GX-224IJ Radeon R4E,1271
AMD Embedded G-Series GX-420GI Radeon R7E,1611
AMD Embedded R-Series RX-216GD,1628
AMD Embedded R-Series RX-418GD Radeon R6,3426
AMD Embedded R-Series RX-421BD,3000
AMD Embedded R-Series RX-421ND,3024
AMD EPYC 3101 4-Core,6050
AMD EPYC 3151,8306
AMD EPYC 3201,8672
AMD EPYC 3251,13705
AMD EPYC 3451,19532
AMD EPYC 4124P,18139
AMD EPYC 4244P,26797
AMD EPYC 4245P,31186
AMD EPYC 4344P,33325
AMD EPYC 4345P,36144
AMD EPYC 4364P,34386
AMD EPYC 4464P,47383
AMD EPYC 4465P,49871
AMD EPYC 4484PX,50547
AMD EPYC 4545P,54280
AMD EPYC 4564P,64443
AMD EPYC 4565P,64041
AMD EPYC 4584PX,59990
AMD EPYC 4585PX,68778
AMD EPYC 7203,17717
AMD EPYC 7203P,22017
AMD EPYC 7232P,17712
AMD EPYC 7251,14935
AMD EPYC 7252,19411
AMD EPYC 7261,11149
AMD EPYC 7262,20779
AMD EPYC 7272,25161
AMD EPYC 7281,21621
AMD EPYC 7282,30289
AMD EPYC 72F3,27252
AMD EPYC 7301,14991
AMD EPYC 7302,33499
AMD EPYC 7302P,32528
AMD EPYC 7303,28572
AMD EPYC 7303P,36487
AMD EPYC 7313,38938
AMD EPYC 7313P,40454
AMD EPYC 7343,43778
AMD EPYC 7351,23079
AMD EPYC 7351P,25264
AMD EPYC 7352,39906
AMD EPYC 7371,30830
AMD EPYC 73F3,46103
AMD EPYC 7401P,27836
AMD EPYC 7402,46012
AMD EPYC 7402P,43648
AMD EPYC 7413,50641
AMD EPYC 7443,56743
AMD EPYC 7443P,56923
