name,price,memory_type,memory_clock,created_at
써멀테이크 DDR4-3600 CL18 TOUGHRAM XG RGB 화이트 패키지,190000,DDR4,3600,2026-04-15 11:20:26.806531
G.SKILL DDR5-6000 CL30 RIPJAWS M5 NEO RGB 블랙 패키지,190990,DDR5,6000,2026-04-15 11:20:26.806531
ANACOMDA DDR4-3200 CL22 디앤디컴,191650,DDR4,3200,2026-04-15 11:20:26.806531
AGI DDR4-3200 CL22 UD138 서린,194000,DDR4,3200,2026-04-15 11:20:26.806531
타무즈 노트북 DDR4-2666 CL19,195360,DDR4,2666,2026-04-15 11:20:26.806531
G.SKILL 노트북 DDR4-2666 CL19 RIPJAWS,196300,DDR4,2666,2026-04-15 11:20:26.806531
TeamGroup 노트북 DDR4-3200 CL22 Elite,196740,DDR4,3200,2026-04-15 11:20:26.806531
TeamGroup DDR4-3200 Elite,198900,DDR4,3200,2026-04-15 11:20:26.806531
G.SKILL DDR4-2666 CL19 AEGIS,198990,DDR4,2666,2026-04-15 11:20:26.806531
마이크론 Crucial DDR4-3200 CL22 대원씨티에스,199000,DDR4,3200,2026-04-15 11:20:26.806531
DLI MEMORY DDR4-3200 CL22,199000,DDR4,3200,2026-04-15 11:20:26.806531
ADATA 노트북 DDR4-3200 CL22 파인인포,204470,DDR4,3200,2026-04-15 11:20:26.806531
Apacer DDR4-3200 CL22,205970,DDR4,3200,2026-04-15 11:20:26.806531
G.SKILL DDR4-3200 CL16 AEGIS,208990,DDR4,3200,2026-04-15 11:20:26.806531
PATRIOT DDR5-5600 CL46 SIGNATURE PREMIUM 블랙,209240,DDR5,5600,2026-04-15 11:20:26.806531
옵티머스 DDR4-3200 아인스시스템,209540,DDR4,3200,2026-04-15 11:20:26.806531
마이크론 Crucial DDR4-3200 CL22 패키지,210800,DDR4,3200,2026-04-15 11:20:26.806531
SK하이닉스 DDR4-3200 병행수입,211680,DDR4,3200,2026-04-15 11:20:26.806531
실리콘파워 DDR4-3200 CL22,216000,DDR4,3200,2026-04-15 11:20:26.806531
G.SKILL DDR5-5600 CL36 FLARE X5 AMD 블랙,222580,DDR5,5600,2026-04-15 11:20:26.806531
마이크론 Crucial 노트북 DDR4-3200 CL22 해외구매,222880,DDR4,3200,2026-04-15 11:20:26.806531
타무즈 DDR4-2666 CL19,223090,DDR4,2666,2026-04-15 11:20:26.806531
G.SKILL DDR5-6000 CL30 FLARE X5 AMD 블랙,223610,DDR5,6000,2026-04-15 11:20:26.806531
써멀테이크 DDR4-3600 CL18 TOUGHRAM RGB 화이트 패키지,227990,DDR4,3600,2026-04-15 11:20:26.806531
TeamGroup T-Force DDR4-4000 CL18 XCALIBUR PG RGB 패키지 서린,228800,DDR4,4000,2026-04-15 11:20:26.806531
TeamGroup T-Force DDR4-3200 CL16 Delta RGB 패키지 서린,229880,DDR4,3200,2026-04-15 11:20:26.806531
TeamGroup T-Force DDR4-3600 CL18 Vulcan Z Gray 패키지 서린,230700,DDR4,3600,2026-04-15 11:20:26.806531
GeIL DDR4-3600 CL18-22-22 SUPER LUCE RGB Sync 블랙 패키지,232960,DDR4,3600,2026-04-15 11:20:26.806531
BIWIN DDR4-3200 CL22,238660,DDR4,3200,2026-04-15 11:20:26.806531
ESSENCORE KLEVV DDR4-3200 CL16 BOLT X 서린,238880,DDR4,3200,2026-04-15 11:20:26.806531
