name,price,socket_type,memory_type,created_at
AMD 라이젠5 PRO 9645 (그래니트 릿지),482000,AMD5,DDR5,2026-05-22 11:46:43.170828
인텔 코어i7-14세대 14700F (랩터레이크 리프레시),491180,1700,DDR5,2026-05-22 11:46:43.170828
인텔 코어i5-14세대 14600KF (랩터레이크 리프레시),494790,1700,DDR5,2026-05-22 11:46:43.170828
인텔 코어i5-11세대 11600K (로켓레이크S),500000,1200,DDR4,2026-05-22 11:46:43.170828
인텔 코어i9-11세대 11900K (로켓레이크S),500340,1200,DDR4,2026-05-22 11:46:43.170828
인텔 코어 울트라5 시리즈2 235T (애로우레이크),502640,1851,DDR5,2026-05-22 11:46:43.170828
인텔 코어 울트라7 시리즈2 270K Plus (애로우레이크 리프레시),507130,1851,DDR5,2026-05-22 11:46:43.170828
인텔 코어 울트라7 시리즈2 265F (애로우레이크),508260,1851,DDR5,2026-05-22 11:46:43.170828
인텔 코어i7-14세대 14700KF (랩터레이크 리프레시),511390,1700,DDR5,2026-05-22 11:46:43.170828
AMD 라이젠7 PRO 7745 (라파엘),513620,AMD5,DDR5,2026-05-22 11:46:43.170828
인텔 코어i9-11세대 11900 (로켓레이크S),514990,1200,DDR4,2026-05-22 11:46:43.170828
인텔 코어i9-12세대 12900KF (엘더레이크),515440,1700,DDR5,2026-05-22 11:46:43.170828
인텔 코어i9-11세대 11900F (로켓레이크S),520180,1200,DDR4,2026-05-22 11:46:43.170828
AMD 라이젠 스레드리퍼 1950X (화이트헤븐),532520,TR4,DDR4,2026-05-22 11:46:43.170828
인텔 코어i7-9세대 9700KF (커피레이크-R),545460,1151V2,DDR4,2026-05-22 11:46:43.170828
인텔 코어i7-12세대 12700 (엘더레이크),546280,1700,DDR5,2026-05-22 11:46:43.170828
인텔 코어i7-12세대 12700K (엘더레이크),558000,1700,DDR5,2026-05-22 11:46:43.170828
인텔 코어i7-11세대 11700F (로켓레이크S),558000,1200,DDR4,2026-05-22 11:46:43.170828
인텔 코어X-시리즈 i9-9920X (스카이레이크),558740,2066,DDR4,2026-05-22 11:46:43.170828
AMD 라이젠7-3세대 3800X (마티스),560760,AMD4,DDR4,2026-05-22 11:46:43.170828
인텔 코어i9-10세대 10900KF (코멧레이크S),567810,1200,DDR4,2026-05-22 11:46:43.170828
인텔 코어i9-11세대 11900KF (로켓레이크S),568400,1200,DDR4,2026-05-22 11:46:43.170828
인텔 제온 E 2174G (커피레이크),569330,1151V2,DDR4,2026-05-22 11:46:43.170828
AMD 라이젠9-3세대 3950X (마티스),574610,AMD4,DDR4,2026-05-22 11:46:43.170828
AMD 라이젠7-6세대 9800X3D (그래니트 릿지),588830,AMD5,DDR5,2026-05-22 11:46:43.170828
인텔 코어i7-12세대 12700T (엘더레이크),590000,1700,DDR5,2026-05-22 11:46:43.170828
인텔 제온 E 2146G (커피레이크),598480,1151V2,DDR4,2026-05-22 11:46:43.170828
인텔 코어i7-14세대 14700 (랩터레이크 리프레시),601250,1700,DDR5,2026-05-22 11:46:43.170828
인텔 코어 울트라7 시리즈2 265 (애로우레이크),608740,1851,DDR5,2026-05-22 11:46:43.170828
인텔 제온 스케일러블 실버 4210R (캐스케이드레이크),609620,3647,DDR4,2026-05-22 11:46:43.170828
AMD 라이젠9-6세대 9900X (그래니트 릿지),616980,AMD5,DDR5,2026-05-22 11:46:43.170828
AMD 라이젠7-1세대 1800X (서밋 릿지),619550,AMD4,DDR4,2026-05-22 11:46:43.170828
AMD 라이젠7 PRO 9745 (그래니트 릿지),630000,AMD5,DDR5,2026-05-22 11:46:43.170828
인텔 코어i9-10세대 10900F (코멧레이크S),630000,1200,DDR4,2026-05-22 11:46:43.170828
인텔 제온 E 2224 (커피레이크-R),630500,1151V2,DDR4,2026-05-22 11:46:43.170828
인텔 코어i9-12세대 12900KS (엘더레이크),644800,1700,DDR5,2026-05-22 11:46:43.170828
인텔 코어i7-13세대 13700K (랩터레이크),647700,1700,DDR5,2026-05-22 11:46:43.170828
인텔 코어i7-13세대 13700 (랩터레이크),651290,1700,DDR5,2026-05-22 11:46:43.170828
인텔 코어i9-13세대 13900KF (랩터레이크),653880,1700,DDR5,2026-05-22 11:46:43.170828
인텔 코어i9-13세대 13900K (랩터레이크),686170,1700,DDR5,2026-05-22 11:46:43.170828
