Bench_Name,Score
AORUS Gen5 10000 SSD 1TB,61187
AORUS Gen5 10000 SSD 2TB,61399
AOSENKE SSD 128GB,3254
AOSENKE SSD 512GB,3481
AP1TPD4480-0G PD4480 1TB,23948
AP1TPD4480-02 PD4480 1TB,28551
AP2JPB4480E-O301 PB4480 256GB,16075
AP2KPA3480E-H301 PA3480 512GB,15025
AP128GPB44801-07 PB4480 128GB,8192
AP512GPD4480-0G PD4480 512GB,20675
AP512GPD4480-02 PD4480 512GB,16790
Apacer A7202,900
Apacer A S330 120GB,3256
Apacer A S330 240GB,1109
Apacer A S350 256GB,4052
Apacer A S510S 64GB,2537
Apacer A S510S 128GB,1465
Apacer A S610S 120GB,3723
Apacer A ST680S 64GB,1595
Apacer A ST680S 240GB,1096
Apacer AS203 128GB,620
Apacer AS203 256GB,1255
Apacer AS220 32GB,823
Apacer AS220 64GB,4363
Apacer AS220 128GB,1492
Apacer AS220 256GB,3144
Apacer AS330 120GB,2716
Apacer AS330 240GB,3740
Apacer AS330 480GB,4208
Apacer AS340 120GB,2816
Apacer AS340 220GB,3889
Apacer AS340 240GB,3147
Apacer AS340 480GB,3348
Apacer AS340 960GB,4771
Apacer AS350 1TB,3469
Apacer AS350 120GB,2430
Apacer AS350 128GB,2556
Apacer AS350 240GB,2799
Apacer AS350 256GB,4050
Apacer AS350 480GB,3133
Apacer AS350 512GB,3325
Apacer AS450 120GB,2586
Apacer AS450 240GB,3255
Apacer AS510S 64GB,2436
Apacer AS510S 128GB,1830
Apacer AS510S 256GB,3720
Apacer AS610 120GB,2256
Apacer AS610 240GB,2625
Apacer AS610S 120GB,3110
Apacer AS610S 240GB,4048
Apacer AS681 120GB,3360
Apacer AS681 240GB,3226
Apacer AS681 480GB,4223
Apacer AS710 256GB,4748
Apacer AS2242 120GB,3035
Apacer AS2280 128GB,2347
Apacer AS2280F4 1TB,62097
Apacer AS2280P2 120GB,5503
Apacer AS2280P2 240GB,9120
Apacer AS2280P2 480GB,9045
Apacer AS2280P2 512GB,9706
Apacer AS2280P4 1TB,18949
Apacer AS2280P4 2TB,18650
Apacer AS2280P4 240GB,11083
Apacer AS2280P4 256GB,13111
Apacer AS2280P4 480GB,13181
Apacer AS2280P4 512GB,16040
Apacer AS2280P4U 1TB,20432
Apacer AS2280P4U 2TB,23235
Apacer AS2280P4U 256GB,14721
Apacer AS2280P4U 512GB,18903
Apacer AS2280Q4 1TB,33338
Apacer AS2280Q4 2TB,37379
Apacer AS2280Q4 500GB,27366
Apacer AS2280Q4 512GB,23924
Apacer AS2280Q4 1000GB,26688
Apacer AS2280Q4 2000GB,22765
Apacer AS2280Q4L 1TB,23490
Apacer AS2280Q4L 256GB,16451
