name,price,recommended_power,pcie_type,gpu_length,created_at
갤럭시 GALAX 지포스 RTX 5050 BLACK OC V2 D6 8GB DUAL HDMI,505000,550.0,PCIE5.0X16,225.0,2026-04-20 15:27:56.166823
MANLI 지포스 RTX 5060 Polar Fox D7 OC 8GB 대원씨티에스,508500,,PCIE5.0X16,240.0,2026-04-20 15:27:56.166823
PowerColor 라데온 RX 9060 XT Reaper White D6 8GB 대원씨티에스,509000,500.0,PCIE5.0X16,200.0,2026-04-20 15:27:56.166823
PNY 지포스 RTX 5060 OC D7 8GB Dual Fan 제이씨현,513700,,PCIE5.0X16,200.0,2026-04-20 15:27:56.166823
액슬 지포스 RTX 3060 Ti D6 8GB White 에즈윈,519910,600.0,,230.0,2026-04-20 15:27:56.166823
MSI 지포스 RTX 5060 쉐도우 2X OC D7 8GB,519940,550.0,PCIE5.0X16,197.0,2026-04-20 15:27:56.166823
GIGABYTE 지포스 RTX 5060 WINDFORCE MAX OC D7 8GB 피씨디렉트,525590,550.0,PCIE5.0X16,199.0,2026-04-20 15:27:56.166823
COLORFUL 지포스 RTX 5060 GAMING DUO D7 8GB 피씨디렉트,526090,550.0,PCIE5.0X16,200.0,2026-04-20 15:27:56.166823
GIGABYTE 지포스 RTX 5060 UD2 OC D7 8GB Nano LP 피씨디렉트,529000,550.0,PCIE5.0X16,182.0,2026-04-20 15:27:56.166823
COLORFUL iGame 지포스 RTX 5050 ULTRA DUO OC White D6 8GB 도우정보,529990,500.0,PCIE5.0X16,231.0,2026-04-20 15:27:56.166823
GIGABYTE 지포스 RTX 5060 EAGLE OC D7 8GB 제이씨현,530000,450.0,PCIE5.0X16,208.0,2026-04-20 15:27:56.166823
MSI 지포스 RTX 5060 Ti 쉐도우 2X OC 플러스 D7 8GB,530100,600.0,PCIE5.0X16,226.0,2026-04-20 15:27:56.166823
이엠텍 지포스 RTX 5060 MIRACLE WHITE D7 8GB,532480,550.0,PCIE5.0X16,250.0,2026-04-20 15:27:56.166823
