Bench_Name,Score
GeForce GTS 240,515
GeForce GTS 250,563
GeForce GTS 250M,519
GeForce GTS 350M,380
GeForce GTS 360M,631
GeForce GTS 450,1347
GeForce GTX 260,1201
GeForce GTX 260M,382
GeForce GTX 275,1349
GeForce GTX 280,1293
GeForce GTX 280M,651
GeForce GTX 285,1476
GeForce GTX 285M,584
GeForce GTX 295,1220
GeForce GTX 460,2264
GeForce GTX 460 SE,1990
GeForce GTX 460 v2,2064
GeForce GTX 460M,1221
GeForce GTX 465,2645
GeForce GTX 470,3165
GeForce GTX 470M,1953
GeForce GTX 480,4078
GeForce GTX 480M,1653
GeForce GTX 485M,2359
GeForce GTX 550 Ti,1558
GeForce GTX 555,1601
GeForce GTX 560,2776
GeForce GTX 560 SE,1847
GeForce GTX 560 Ti,3079
GeForce GTX 560M,1289
GeForce GTX 570,3936
GeForce GTX 570M,1859
GeForce GTX 580,4629
GeForce GTX 580M,1850
GeForce GTX 590,3341
GeForce GTX 645,1877
GeForce GTX 650,1758
GeForce GTX 650 Ti,2535
GeForce GTX 650 Ti BOOST,3409
GeForce GTX 660,4048
GeForce GTX 660 Ti,4412
GeForce GTX 660M,1439
GeForce GTX 670,5366
GeForce GTX 670M,1712
GeForce GTX 670MX,1977
GeForce GTX 675M,1857
GeForce GTX 675MX,3137
GeForce GTX 680,5603
GeForce GTX 680M,3276
GeForce GTX 680M KY_Bullet Edition,3568
GeForce GTX 680MX,3799
GeForce GTX 690,5465
GeForce GTX 745,2119
GeForce GTX 750,3294
GeForce GTX 750 Ti,3899
GeForce GTX 760,4823
GeForce GTX 760 Ti,5306
GeForce GTX 760 Ti OEM,5474
GeForce GTX 760A,1071
GeForce GTX 760M,1740
GeForce GTX 765M,2004
GeForce GTX 770,5962
GeForce GTX 770M,2790
GeForce GTX 775M,3950
GeForce GTX 780,7959
GeForce GTX 780 Ti,9454
GeForce GTX 780M,3897
GeForce GTX 850A,767
GeForce GTX 850M,2534
GeForce GTX 850M - MODDED,1091
GeForce GTX 860M,3096
GeForce GTX 870M,3554
GeForce GTX 880M,3844
GeForce GTX 950,5353
GeForce GTX 950A,2598
GeForce GTX 950M,2577
GeForce GTX 960,6142
GeForce GTX 960A,3464
GeForce GTX 960M,3373
GeForce GTX 965M,3874
GeForce GTX 970,9639
GeForce GTX 970M,5729
GeForce GTX 970XM FORCE,6706
GeForce GTX 980,11077
GeForce GTX 980 Ti,13641
GeForce GTX 980M,7388
GeForce GTX 1050,5047
GeForce GTX 1050 3GB,5114
GeForce GTX 1050 (Mobile),4462
GeForce GTX 1050 Ti,6363
GeForce GTX 1050 Ti (Mobile),5917
GeForce GTX 1050 Ti with Max-Q Design,5313
GeForce GTX 1050 with Max-Q Design,3898
GeForce GTX 1060,10043
GeForce GTX 1060 3GB,9840
GeForce GTX 1060 5GB,9180
GeForce GTX 1060 (Mobile),8160
GeForce GTX 1060 with Max-Q Design,7820
GeForce GTX 1070,13513
GeForce GTX 1070 (Mobile),10465
GeForce GTX 1070 Ti,14669
GeForce GTX 1070 with Max-Q Design,9773
GeForce GTX 1080,15606
GeForce GTX 1080 Ti,18591
GeForce GTX 1080 with Max-Q Design,11679
GeForce GTX 1630,4983
GeForce GTX 1650,7872
GeForce GTX 1650 (Mobile),6968
GeForce GTX 1650 SUPER,10188
GeForce GTX 1650 Ti,7534
GeForce GTX 1650 Ti with Max-Q Design,6639
GeForce GTX 1650 with Max-Q Design,6353
GeForce GTX 1660,11615
GeForce GTX 1660 SUPER,12680
GeForce GTX 1660 Ti,12624
GeForce GTX 1660 Ti (Mobile),10096
GeForce GTX 1660 Ti with Max-Q Design,8605
GeForce GTX Titan,8196
GeForce GTX TITAN Black,9183
GeForce GTX TITAN X,12557
GeForce GTX TITAN Z,8896
GeForce MX110,1410
GeForce MX130,1800
GeForce MX150,2251
GeForce MX230,1815
GeForce MX250,2374
GeForce MX330,2336
GeForce MX350,2818
GeForce MX450,3717
GeForce MX550,4439
GeForce MX570,5812
GeForce MX570 A,6282
GeForce PCX 5300,6
GeForce PCX 5750,34
GeForce PCX 5900,34
GeForce RTX 2050,7711
GeForce RTX 2060,14091
GeForce RTX 2060 12GB,15923
GeForce RTX 2060 (Mobile),11352
GeForce RTX 2060 SUPER,16462
GeForce RTX 2060 with Max-Q Design,9621
GeForce RTX 2070,16063
GeForce RTX 2070 (Mobile),12357
GeForce RTX 2070 SUPER,18138
GeForce RTX 2070 Super with Max-Q Design,13412
GeForce RTX 2070 with Max-Q Design,11396
GeForce RTX 2080,18588
GeForce RTX 2080 (Mobile),15013
GeForce RTX 2080 SUPER,19442
GeForce RTX 2080 Super with Max-Q Design,13467
GeForce RTX 2080 Ti,21457
GeForce RTX 2080 with Max-Q Design,12705
GeForce RTX 3050 4GB Laptop GPU,9500
GeForce RTX 3050 6GB,10759
GeForce RTX 3050 6GB Laptop GPU,10129
GeForce RTX 3050 8GB,12495
GeForce RTX 3050 A Laptop GPU,10876
GeForce RTX 3050 Laptop GPU,12003
GeForce RTX 3050 OEM,11887
GeForce RTX 3050 Ti Laptop GPU,10079
GeForce RTX 3060,16980
GeForce RTX 3060 8GB,15246
GeForce RTX 3060 12GB,16730
GeForce RTX 3060 Laptop GPU,13124
GeForce RTX 3060 Ti,20258
GeForce RTX 3070,22113
GeForce RTX 3070 Laptop GPU,15079
GeForce RTX 3070 Ti,23226
GeForce RTX 3070 Ti Laptop GPU,17420
GeForce RTX 3080,25007
GeForce RTX 3080 12GB,26564
GeForce RTX 3080 Laptop GPU,16121
GeForce RTX 3080 Ti,26760
GeForce RTX 3080 Ti Laptop GPU,18927
GeForce RTX 3090,26537
GeForce RTX 3090 Ti,29277
GeForce RTX 4050 Laptop GPU,14263
GeForce RTX 4060,19508
GeForce RTX 4060 Laptop GPU,17377
GeForce RTX 4060 Ti,22610
GeForce RTX 4060 Ti 16GB,22628
GeForce RTX 4070,26899
GeForce RTX 4070 Laptop GPU,19509
GeForce RTX 4070 SUPER,29955
GeForce RTX 4070 Ti,31566
GeForce RTX 4070 Ti SUPER,31816
