Bench_Name,Score
AMD R744G2400U1S-UO 4GB,16.7
AMD R744G2606U1S 4GB,15.7
AMD R748G2133U2S 8GB,15.9
AMD R748G2133U2S-UO 8GB,15.0
AMD R748G2400S2S 8GB,15.2
AMD R748G2400U2S 8GB,16.4
AMD R748G2400U2S-UO 8GB,18.2
AMD R748G2606U2S 8GB,15.0
AMD R948G2806U2S 8GB,14.7
AMD R948G3206U2S 8GB,18.8
AMD R7416G2133U2S 16GB,13.5
AMD R7416G2400U2S 16GB,18.1
Antec Memory DDR4-3600 8GB C18 8GB,18.0
Apacer Technology 76.B305G.D500B 4GB,13.9
Apacer Technology 76.C102G.D170B 8GB,16.3
Apacer Technology 76.D105G.D090B 16GB,17.9
Apacer Technology 76.D305G.D060B 16GB,16.6
Apacer Technology 76.D305G.D390B 16GB,14.2
Apacer Technology 78.B1GM3.AF00B 4GB,13.1
Apacer Technology 78.B1GM3.C7W0B 4GB,16.0
Apacer Technology 78.B1GN3.4032B 4GB,13.9
Apacer Technology 78.B1GN3.AZ32B 4GB,16.4
Apacer Technology 78.B1GQB.4010B 4GB,13.5
Apacer Technology 78.B1GS6.AUC0B 4GB,11.7
Apacer Technology 78.BAGM6.40C0B 4GB,13.8
Apacer Technology 78.BAGMD.AF20B 4GB,18.5
Apacer Technology 78.BAGN8.40C0B 4GB,9.6
Apacer Technology 78.BAGN8.AZC0B 4GB,15.9
Apacer Technology 78.BAGNF.40C0B 4GB,18.0
Apacer Technology 78.BAGP4.AR50C 4GB,15.4
Apacer Technology 78.BAGSR.4030B 4GB,14.5
Apacer Technology 78.C1GM3.C7W0B 8GB,13.4
Apacer Technology 78.C1GM3.C7Z0B 8GB,13.0
Apacer Technology 78.C1GM3.C7Z0C 8GB,14.7
Apacer Technology 78.C1GMM.AUC0B 8GB,14.7
Apacer Technology 78.C1GMM.AUF0B 8GB,13.3
Apacer Technology 78.C1GMM.AUW0C 8GB,16.6
Apacer Technology 78.C1GMM.BAC0B 8GB,13.9
Apacer Technology 78.C1GMM.DFW0C 8GB,12.3
Apacer Technology 78.C1GMS.C7Z0C 8GB,16.9
Apacer Technology 78.C1GMW.AUC0B 8GB,13.7
Apacer Technology 78.C1GMW.AZC0B 8GB,17.2
Apacer Technology 78.C1GQ5.C7C0B 8GB,13.0
Apacer Technology 78.C1GQB.4032B 8GB,17.5
Apacer Technology 78.C1GS7.AUC0B 8GB,18.4
Apacer Technology 78.C1GS7.AUW0B 8GB,16.5
Apacer Technology 78.C1GS7.DFW0C 8GB,17.3
Apacer Technology 78.C2GF2.AU00B 8GB,15.4
Apacer Technology 78.C2GF6.AU20B 8GB,12.3
Apacer Technology 78.C2GFA.AF30B 8GB,14.8
Apacer Technology 78.C2GFK.AR20B 8GB,12.8
Apacer Technology 78.C2GFL.C720B 8GB,14.5
Apacer Technology 78.C2GFP.C700B 8GB,14.4
Apacer Technology 78.CAGMR.40C0B 8GB,14.7
Apacer Technology 78.CAGMR.ARC0B 8GB,14.4
Apacer Technology 78.CAGMT.40C0B 8GB,16.3
Apacer Technology 78.CAGN4.4020B 8GB,21.7
Apacer Technology 78.CAGN7.4000C 8GB,16.8
Apacer Technology 78.CAGNK.4040B 8GB,22.1
Apacer Technology 78.CAGNT.4050B 8GB,17.7
Apacer Technology 78.CAGNT.AR40B 8GB,21.6
Apacer Technology 78.CAGP7.40C0B 8GB,15.4
Apacer Technology 78.CAGP7.4020B 8GB,12.6
Apacer Technology 78.CAGP7.AFW0C 8GB,14.0
Apacer Technology 78.CAGP7.AZ20B 8GB,14.4
Apacer Technology 78.CAGP7.AZC0B 8GB,15.9
Apacer Technology 78.CAGP7.C7C0B 8GB,13.6
Apacer Technology 78.CAGP7.C7Z0B 8GB,17.7
Apacer Technology 78.CAGP7.DFW0C 8GB,13.8
Apacer Technology 78.CAGPE.AUF0B 8GB,16.7
Apacer Technology 78.CAGPL.ARC0B 8GB,13.9
Apacer Technology 78.CAGPN.AZ50C 8GB,14.9
Apacer Technology 78.CAGPN.DF40B 8GB,19.0
Apacer Technology 78.CAGPP.40C0B 8GB,16.6
Apacer Technology 78.CAGPP.ARC0B 8GB,13.8
Apacer Technology 78.CAGPP.ARW0B 8GB,11.9
Apacer Technology 78.CAGPW.40C0B 8GB,18.4
Apacer Technology 78.CAGQ7.ARC0B 8GB,15.1
Apacer Technology 78.CAGQE.C750B 8GB,13.5
Apacer Technology 78.CAGR4.40C0B 8GB,16.8
Apacer Technology 78.CAGR4.DFC0B 8GB,9.6
Apacer Technology 78.CAGR9.40C0B 8GB,19.9
Apacer Technology 78.CAGRN.40C0B 8GB,17.4
Apacer Technology 78.CAGSZ.4070B 8GB,16.9
Apacer Technology 78.D1GMM.AU10B 16GB,17.0
Apacer Technology 78.D1GS7.B7B0B 16GB,17.6
Apacer Technology 78.D2GF2.4010B 16GB,17.6
Apacer Technology 78.D2GF2.AU30B 16GB,14.6
Apacer Technology 78.D2GFH.4030B 16GB,18.2
Apacer Technology 78.D2GG7.AU30B 16GB,16.8
Apacer Technology 78.DAGNN.4030B 16GB,17.9
Apacer Technology 78.DAGP2.4030B 16GB,18.3
Apacer Technology 78.DAGQ7.40B0B 16GB,17.0
Apacer Technology 78.DAGRL.4050C 16GB,17.7
Apacer Technology AQD-D4U8GN24-SE 8GB,17.5
Apacer Technology AQD-D4U8GN26-SE 8GB,16.4
Apacer Technology AQD-SD4U4GN24-SG 4GB,14.8
Apacer Technology D12.2324CS.001 8GB,17.5
Apacer Technology D12.2324WT.001 8GB,18.1
Apacer Technology D12.2326WH.001 16GB,16.0
Apacer Technology D12.2344DT.001 4GB,17.6
Apacer Technology D12.2356WS.001 8GB,17.1
Apacer Technology D12.2755BS.001 16GB,15.1
Apacer Technology D22.2221ZA.001 8GB,12.8
Apacer Technology D22.23263S.002 16GB,16.5
Apacer Technology D22.27553S.001 16GB,16.2
Apacer Technology GD2.0918CT.001 4GB,15.2
Apacer Technology GD2.0927WH.001 8GB,15.4
Apacer Technology GD2.1129WH.001 16GB,17.5
Apacer Technology GD2.1140CH.001 4GB,17.2
